title,type,artist,year,source,source_id,tags,ship_ref,note,url,cover_img,img_note
'Dawn' - Halo 4 Lowpoly Pixel Fanart,3D社区,SULLY,2018,sketchfab,55df6c934d824c478f1a34efe37a1be6,飞船|外形|3D模型|社区人气,2,"♥1012 赞 · 43222 浏览。""Wake up Chief, I need you.""  This was one of the most detailed pixel …",https://sketchfab.com/3d-models/none-55df6c934d824c478f1a34efe37a1be6,https://media.sketchfab.com/models/55df6c934d824c478f1a34efe37a1be6/thumbnails/40bdf338f0e6467181f29962417b934e/a27bb225da3a494abee55384b6f0bdef.jpeg,Sketchfab 渲染图
Sci Fi Hallway FREE,3D社区,Seesha,2024,sketchfab,44fd25310d2240908027390a078368e1,走廊|环境|3D模型|社区人气,1,"♥986 赞 · 33052 浏览。Hey! Sci-fi corridor FREE version The pack includes separate floor, wa…",https://sketchfab.com/3d-models/none-44fd25310d2240908027390a078368e1,https://media.sketchfab.com/models/44fd25310d2240908027390a078368e1/thumbnails/74fd0ee7a4f24639b5889a05e7cbf053/74ee6e9bbbcc4d6498800ca46a1cd81d.jpeg,Sketchfab 渲染图
CLASS-3 FIGHTER SPACESHIP HODBIN - FREE MODEL,3D社区,Kerem Kavalci,2024,sketchfab,3451df5fb9d34cd98c3f63cfc0321dd3,飞船|外形|3D模型|社区人气,2,♥972 赞 · 45252 浏览。Fighter spaceship with **4K Textures** and **3 different color** optio…,https://sketchfab.com/3d-models/none-3451df5fb9d34cd98c3f63cfc0321dd3,https://media.sketchfab.com/models/3451df5fb9d34cd98c3f63cfc0321dd3/thumbnails/827e34e204ba4bbcadd766efeab6e699/48ad7ca0805d4c67987b7cbf8470b119.jpeg,Sketchfab 渲染图
International Space Station - Interior,3D社区,Raiz,2019,sketchfab,7753b422ca8046b4ae783d44b2bd6cfc,内部结构|空间站|3D模型|社区人气,3,♥908 赞 · 97482 浏览。**Photogrammetry ISS reconstruction from NASA video.** **Set textures …,https://sketchfab.com/3d-models/none-7753b422ca8046b4ae783d44b2bd6cfc,https://media.sketchfab.com/models/7753b422ca8046b4ae783d44b2bd6cfc/thumbnails/b586a85afd61433095d629a14ea7169d/65e05dbcfed841829e59cfdad22a52d6.jpeg,Sketchfab 渲染图
Space Ship,3D社区,Comrade1280,2015,sketchfab,63ce372c1aa843e98bf1548109e055d8,飞船|外形|3D模型|社区人气,2,♥907 赞 · 35128 浏览。,https://sketchfab.com/3d-models/none-63ce372c1aa843e98bf1548109e055d8,https://media.sketchfab.com/models/63ce372c1aa843e98bf1548109e055d8/thumbnails/e35c529a1a474272ae38177b3e6e0c7a/c5c2448b44f841a7b04174f145f20443.jpeg,Sketchfab 渲染图
SciFi-Corridor (Sky Palace),3D社区,Polsaris,2022,sketchfab,3aadc98fb4294ddb8889a297337ffa30,走廊|环境|3D模型|社区人气,1,♥892 赞 · 23969 浏览。Have Fun,https://sketchfab.com/3d-models/none-3aadc98fb4294ddb8889a297337ffa30,https://media.sketchfab.com/models/3aadc98fb4294ddb8889a297337ffa30/thumbnails/06f6b51c9699468697f1429bbc0330d5/791a2108506c47b0bc9ba05901b3be23.jpeg,Sketchfab 渲染图
"AJF-12 ""Dvergr""",3D社区,Star Conflict,2015,sketchfab,ecc16e103e79448faf9730f172a1d7e8,驾驶舱|内部|3D模型|社区人气,3,"♥845 赞 · 36700 浏览。After the start of the Invasion, the already strong military industry …",https://sketchfab.com/3d-models/none-ecc16e103e79448faf9730f172a1d7e8,https://media.sketchfab.com/models/ecc16e103e79448faf9730f172a1d7e8/thumbnails/7498ffc2114c4e56a0becd66df5b6805/1024.jpeg,Sketchfab 渲染图
LIGHT FIGHTER SPACESHIP - FREE -,3D社区,Kerem Kavalci,2024,sketchfab,51616ef53af84fe595c5603cd3e0f3e1,飞船|外形|3D模型|社区人气,2,♥818 赞 · 37914 浏览。LIGHT FIGHTER SPACESHIP. MADE WITH BLENDER 4.0 AND SUBSTANCE PAINTER. …,https://sketchfab.com/3d-models/none-51616ef53af84fe595c5603cd3e0f3e1,https://media.sketchfab.com/models/51616ef53af84fe595c5603cd3e0f3e1/thumbnails/96db7103a8f14be79ecfc6174182c043/86cdee64c76a43e5ab741527d20fdf76.jpeg,Sketchfab 渲染图
Star Wars: Imperial II Star Destroyer,3D社区,Daniel,2016,sketchfab,b8bd2d35f7604670ab85242c06c6d280,主力舰|巨构|3D模型|社区人气,4,♥816 赞 · 173439 浏览。Model done in Blender 3D Reuploaded 2021-06-21.,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280,https://media.sketchfab.com/models/b8bd2d35f7604670ab85242c06c6d280/thumbnails/85fa29439b474ce188465801c938fbbf/9bd32b5c4ad84e99a557ea9e0acc92c9.jpeg,Sketchfab 渲染图
scifi platform stage scene baked,3D社区,McWinterL,2023,sketchfab,64adb59a716d43e5a8705ff6fe86c0ce,内部结构|空间站|3D模型|社区人气,3,♥680 赞 · 36404 浏览。This is an interior view of a futuristic space station. Designed in an…,https://sketchfab.com/3d-models/none-64adb59a716d43e5a8705ff6fe86c0ce,https://media.sketchfab.com/models/64adb59a716d43e5a8705ff6fe86c0ce/thumbnails/78f7bd4c3626490aaddcaea349517f63/c447af11ed7e4c6d9ae7e8dd66e32a17.jpeg,Sketchfab 渲染图
Spaceship,3D社区,Kyan0s,2018,sketchfab,112f726de5944fdc9b7b9bc5b3f9d4e3,引擎|推进|3D模型|社区人气,3,♥679 赞 · 44668 浏览。A **spaceship** i've made with **Blender** and **Gimp**.,https://sketchfab.com/3d-models/none-112f726de5944fdc9b7b9bc5b3f9d4e3,https://media.sketchfab.com/models/112f726de5944fdc9b7b9bc5b3f9d4e3/thumbnails/f1ef8360c8d240e6a8a46a5b16d430e9/a1c7fc9ea8d843759095b204fc2f1d54.jpeg,Sketchfab 渲染图
Top Down Scifi Industrial platforms,3D社区,R-LAB,2019,sketchfab,86245425f3d0468eb70456528b399f90,引擎|推进|3D模型|社区人气,3,♥675 赞 · 17493 浏览。A neat collection of modular platforms that can be snapped together to…,https://sketchfab.com/3d-models/none-86245425f3d0468eb70456528b399f90,https://media.sketchfab.com/models/86245425f3d0468eb70456528b399f90/thumbnails/407b8aae706d4c67ab8a454ed3ecea50/9c5987d2e4dd40abbe4e17e637519ba6.jpeg,Sketchfab 渲染图
MM-003 Maintenance Module Prototype,3D社区,mjeff,2021,sketchfab,15c3d40df5e644e782b22d2850d0cf54,栖息地|生态|3D模型|社区人气,4,♥417 赞 · 12076 浏览。The MM-003 is designed to function in space with various use cases suc…,https://sketchfab.com/3d-models/none-15c3d40df5e644e782b22d2850d0cf54,https://media.sketchfab.com/models/15c3d40df5e644e782b22d2850d0cf54/thumbnails/9c3014ece26d4fa2893ed8d0bc5bb461/d87680eb86c54546864600ba0e66b8a8.jpeg,Sketchfab 渲染图
Volaspire - Air Habitat/Transportation System,3D社区,Glen Johnson,2018,sketchfab,bac0fce4bc37425fb3a4596d02b95514,栖息地|生态|3D模型|社区人气,4,♥379 赞 · 9573 浏览。This is for the MasterpieceVR “Imagine And Create A Sustainable Future…,https://sketchfab.com/3d-models/none-bac0fce4bc37425fb3a4596d02b95514,https://media.sketchfab.com/models/bac0fce4bc37425fb3a4596d02b95514/thumbnails/4d4f0db4030c47f99ce80eb160fa202f/d8b3472c9bfa4e758d4a1a5a8883ae4b.jpeg,Sketchfab 渲染图
General Ship Repair,3D社区,Katie Wolfe,2022,sketchfab,ee2536a947c24610a21ddf7fd66be598,世代飞船|巨构|3D模型|社区人气,4,"♥361 赞 · 13275 浏览。""General Ship Repair maintains the rich ship building tradition so lon…",https://sketchfab.com/3d-models/none-ee2536a947c24610a21ddf7fd66be598,https://media.sketchfab.com/models/ee2536a947c24610a21ddf7fd66be598/thumbnails/99bd8a5d07964c759c993544f8d8fdb6/56f7a21241c343a89c11aa48618d93c3.jpeg,Sketchfab 渲染图
Space Colony B,3D社区,Giimann,2020,sketchfab,cbb51802d9ab42128ca304aaacf0bb4b,殖民地|栖息地|3D模型|社区人气,4,♥361 赞 · 19325 浏览。Detailed 3d model of a Sci-fi space station.  Circular structure is an…,https://sketchfab.com/3d-models/none-cbb51802d9ab42128ca304aaacf0bb4b,https://media.sketchfab.com/models/cbb51802d9ab42128ca304aaacf0bb4b/thumbnails/6b02bdf0ab6246fab9c7f9e92244edf9/5064697edb754f29ae579f55fcd9e062.jpeg,Sketchfab 渲染图
Space Colony Modular Kit Bash,3D社区,R-LAB,2022,sketchfab,1ac694729ad04977ba93dafa66914aff,殖民地|栖息地|3D模型|社区人气,4,♥310 赞 · 11306 浏览。Video Link of what you can achieve with these pieces: https://youtu.be…,https://sketchfab.com/3d-models/none-1ac694729ad04977ba93dafa66914aff,https://media.sketchfab.com/models/1ac694729ad04977ba93dafa66914aff/thumbnails/11c338cf0b6b491aa9c4bb7ebbeafaa9/53a077f4952747c292bb2d832c460839.jpeg,Sketchfab 渲染图
Retro Modular Sci-fi Environment Kit-bash,3D社区,ShaunTWilliams,2018,sketchfab,ebd9a103b59a4e9fa432940694e2fddd,殖民地|栖息地|3D模型|社区人气,4,♥283 赞 · 24315 浏览。Retro Styled Sci-fi Interior Kitbash with a theme of late 80`s vision …,https://sketchfab.com/3d-models/none-ebd9a103b59a4e9fa432940694e2fddd,https://media.sketchfab.com/models/ebd9a103b59a4e9fa432940694e2fddd/thumbnails/0811eb197c8a461188fe3d9b5ff5b03b/08d0f314a2c545b0833b78e132bf2b5e.jpeg,Sketchfab 渲染图
Spaceship 4,3D社区,re1monsen,2023,sketchfab,a202b7aeace74902aa006defa33c55f6,世代飞船|巨构|3D模型|社区人气,4,♥273 赞 · 11244 浏览。Procedural Modeling and AI Texture generation.  Thanks for all the sup…,https://sketchfab.com/3d-models/none-a202b7aeace74902aa006defa33c55f6,https://media.sketchfab.com/models/a202b7aeace74902aa006defa33c55f6/thumbnails/57556bab3695468ba5462f9ae04252a3/5fcd292b2926439c9ee8d7468cc7d8b0.jpeg,Sketchfab 渲染图
Sky Cruiser,3D社区,R-LAB,2017,sketchfab,6f7851a1ba094f27893af02cd971e30c,主力舰|巨构|3D模型|社区人气,4,♥258 赞 · 8669 浏览。Designed for use in video games this sky cruiser serves as a battle co…,https://sketchfab.com/3d-models/none-6f7851a1ba094f27893af02cd971e30c,https://media.sketchfab.com/models/6f7851a1ba094f27893af02cd971e30c/thumbnails/df256507dfe2428684e2f5e3f89ae9ce/58d1b3d649fa4673808ef46af135637e.jpeg,Sketchfab 渲染图
UNSC Phoenix-class assault ship,3D社区,Malcontent1692,2017,sketchfab,295e247b8c7f4beb8c2d19d7c3a4bb0b,殖民地|栖息地|3D模型|社区人气,4,"♥251 赞 · 30074 浏览。After several weeks of work both creating and optimizing the model, an…",https://sketchfab.com/3d-models/none-295e247b8c7f4beb8c2d19d7c3a4bb0b,https://media.sketchfab.com/models/295e247b8c7f4beb8c2d19d7c3a4bb0b/thumbnails/3c1c3cd697e04a6c91c801a9d064199b/27385b6519914560adcf9d710294e7a0.jpeg,Sketchfab 渲染图
Space Colony Zeta,3D社区,skartemka,2015,sketchfab,8c04e7915e2949bb8606f9369559cd24,殖民地|栖息地|3D模型|社区人气,4,"♥187 赞 · 6528 浏览。Character made for a projects ""SCZ ™"" Made by Artyom Antipov and Dmitr…",https://sketchfab.com/3d-models/none-8c04e7915e2949bb8606f9369559cd24,https://media.sketchfab.com/models/8c04e7915e2949bb8606f9369559cd24/thumbnails/def3112f69da4edda109db872d4d15c9/1817bb9fbb3c4c18b02ed647b91f8e1e.jpeg,Sketchfab 渲染图
Modular Ring,3D社区,d880,2016,sketchfab,bc9817cdb102430f8198584ea1081650,栖息地|生态|3D模型|社区人气,4,♥172 赞 · 5063 浏览。,https://sketchfab.com/3d-models/none-bc9817cdb102430f8198584ea1081650,https://media.sketchfab.com/models/bc9817cdb102430f8198584ea1081650/thumbnails/c7f475b8c95a4effb4ed8680c6623f7c/1024.jpeg,Sketchfab 渲染图
Icarus Space Station,3D社区,ShaunTWilliams,2018,sketchfab,25b3b49c4e9649a89566ae3783032e40,栖息地|生态|3D模型|社区人气,4,♥155 赞 · 10031 浏览。Icarus Space Station - orbital  The Icarus space station is a huge and…,https://sketchfab.com/3d-models/none-25b3b49c4e9649a89566ae3783032e40,https://media.sketchfab.com/models/25b3b49c4e9649a89566ae3783032e40/thumbnails/9a8b344fcc7d4da8a74630b9d074f37e/4ae1186d8a294301bc4e29be33301642.jpeg,Sketchfab 渲染图
