title,type,artist,year,source,source_id,tags,ship_ref,note,url,cover_img,img_note
Spaceship,3D社区,Alberto_Petronio,2022,blenderartists,1407767,飞船|外形|Blender|社区论坛,2,♥77 赞 · 回复8。More here: https://www.artstation.com/artwork/8w0OvR leg_det…,https://blenderartists.org/t/1407767,https://blenderartists.org/uploads/default/optimized/4X/0/8/b/08b6dd1465f1a18499e91be730d0fcc8627b3f81_2_690x344.jpeg,Blender 论坛渲染图
Tunnel,3D社区,edi_3d,2020,blenderartists,1265498,空间站|巨构|Blender|社区论坛,3,♥75 赞 · 回复7。edin-t-tunel-render-final-info 1920×1926 1.15 MB i finished …,https://blenderartists.org/t/1265498,https://blenderartists.org/uploads/default/original/4X/b/c/3/bc33cec2de41bf0f6f81a84d6db4105bb6093461.png,Blender 论坛渲染图
Lifeboat... in space!,3D社区,Linolafett,2023,blenderartists,1453133,飞船|外形|Blender|社区论坛,2,♥74 赞 · 回复15。Hey blenderartists! Here is my entry for the “Endless engine…,https://blenderartists.org/t/1453133,https://blenderartists.org/uploads/default/optimized/4X/d/d/a/ddad32753a8ebd43cc368634ba9c7b22e011953c_2_690x388.jpeg,Blender 论坛渲染图
Station Solarium Module,3D社区,J_the_Ninja,2021,blenderartists,1300640,空间站|巨构|Blender|社区论坛,3,♥73 赞 · 回复7。solarium_hall_walkway_sRGB_camera0 3840×2160 1.95 MB solariu…,https://blenderartists.org/t/1300640,https://blenderartists.org/uploads/default/original/4X/9/0/c/90cb2dd39755377dd3ad0c6ae930b76d5a369814.png,Blender 论坛渲染图
Wraith Abrasax,3D社区,micro26,2021,blenderartists,1280790,飞船|外形|Blender|社区论坛,2,"♥72 赞 · 回复12。Hi all, this is a personal project i made in spare time. A s…",https://blenderartists.org/t/1280790,https://blenderartists.org/uploads/default/optimized/4X/7/3/5/735850cfb6a50d0434458d95d42d7a08f5c4ec48_2_690x341.jpeg,Blender 论坛渲染图
Sunset Delivery,3D社区,Linolafett,2026,blenderartists,1635809,飞船|外形|Blender|社区论坛,2,♥70 赞 · 回复13。Hello Blenderartists I had some fun trying some different mo…,https://blenderartists.org/t/1635809,https://blenderartists.org/uploads/default/optimized/4X/6/6/9/669db0b8693ecb8eec1adb7bb70d2fdef23eecdc_2_690x291.jpeg,Blender 论坛渲染图
Alien World Exploration #3,3D社区,SatyakiMandal,2022,blenderartists,1420871,飞船|外形|Blender|社区论坛,2,♥68 赞 · 回复10。This is the continuation of the alien world exploration with…,https://blenderartists.org/t/1420871,https://blenderartists.org/uploads/default/original/4X/7/f/e/7feeb2ab0ef011ede27201bb6e7b815a8d61b609.png,Blender 论坛渲染图
Jellyfish Cave,3D社区,Haewen,2023,blenderartists,1497018,外星世界|环境|Blender|社区论坛,1,♥67 赞 · 回复9。Haewen_Alien_World_Submission 1080×1350 2.02 MB Clay: Haewen…,https://blenderartists.org/t/1497018,https://blenderartists.org/uploads/default/optimized/4X/4/8/b/48be14901ea930b78c7c1ded06cfee724e0e00a0_2_400x500.png,Blender 论坛渲染图
ZLOITH - Saling in cosmos,3D社区,deepak365days,2026,blenderartists,1636679,世代飞船|巨构|Blender|社区论坛,4,♥65 赞 · 回复18。InShot_20260406_175915032 2458×3072 1.27 MB InShot_20260406_…,https://blenderartists.org/t/1636679,https://blenderartists.org/uploads/default/optimized/4X/2/f/4/2f42417e56e958960d37708b9fe0ff72a1db4686_2_690x286.jpeg,Blender 论坛渲染图
Skyport Usak - Year 2634,3D社区,JesperBylov,2024,blenderartists,1525621,航天器|外形|Blender|社区论坛,4,♥63 赞 · 回复16。Take a glimpse into the future of cargo. A bustling freighte…,https://blenderartists.org/t/1525621,https://blenderartists.org/uploads/default/original/4X/8/a/5/8a56522f1271b7304f5579e464c1270e2db1c001.jpeg,Blender 论坛渲染图
"ISP Station ""Animation""",3D社区,edi_3d,2022,blenderartists,1415791,空间站|巨构|Blender|社区论坛,3,♥62 赞 · 回复11。edin-t-0291 1920×1080 793 KB edin-t-0160 1920×1080 800 KB an…,https://blenderartists.org/t/1415791,https://blenderartists.org/uploads/default/optimized/4X/f/1/b/f1b67df6f167f2d8bb0d47426719feb785eb1554_2_690x388.jpeg,Blender 论坛渲染图
Space colony artwork,3D社区,magarlick,2022,blenderartists,1408567,殖民地|栖息地|Blender|社区论坛,4,♥57 赞 · 回复9。Stanford Torus Interior - V1 1000×1200 379 KB Dear all. This…,https://blenderartists.org/t/1408567,https://blenderartists.org/uploads/default/original/4X/d/4/0/d405961043d96cf0c30a57f112e682c7818afcb1.jpeg,Blender 论坛渲染图
Welding drone,3D社区,Linolafett,2023,blenderartists,1483995,飞船|外形|Blender|社区论坛,2,"♥56 赞 · 回复7。Hey there Blenderartists, that was a fun little project. The…",https://blenderartists.org/t/1483995,https://blenderartists.org/uploads/default/original/4X/1/d/0/1d02b769f609efc304ad4aab3a874b80d9ce9410.png,Blender 论坛渲染图
Strange Planet,3D社区,JoniMercado,2024,blenderartists,1559010,外星世界|环境|Blender|社区论坛,1,♥56 赞 · 回复13。Three capsules tried to land on an unknown planet. Two didn’…,https://blenderartists.org/t/1559010,https://blenderartists.org/uploads/default/original/4X/e/3/6/e36d9bf269cd1673386199755ac751ad39503b60.jpeg,Blender 论坛渲染图
Monument - Neo Tenochtitlan,3D社区,Ronan,2022,blenderartists,1385601,未来建筑|环境|Blender|社区论坛,1,♥55 赞 · 回复7。Ronan_Monument_INSTA 3871×1900 2.26 MB Monument - Neo Tenoch…,https://blenderartists.org/t/1385601,https://blenderartists.org/uploads/default/original/4X/7/f/e/7feeb2ab0ef011ede27201bb6e7b815a8d61b609.png,Blender 论坛渲染图
