title,search_name,year,source,source_id,score,popularity,genres,format,cover_img,url,tags,ship_ref,note,desc,kind
Mobile Suit Gundam Thunderbolt,Mobile Suit Gundam Thunderbolt,2012,anilist,67683,73,1791,"Action,Drama,Mecha,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx67683-YargpLXEGoOO.png,https://anilist.co/manga/67683,军事科幻|机甲|宇宙,1,高达雷霆宙域,,comic
Eden: It's an Endless World!,Eden: It's an Endless World!,1997,anilist,30731,80,23611,"Action,Drama,Psychological,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30731-I2lMIZYDECe2.jpg,https://anilist.co/manga/30731,末世|生物|科幻,0,EDEN：97 边界作,,comic
Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,1994,anilist,30004,86,36492,"Sci-Fi,Slice of Life",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/b30004-k0YUnO94IB4x.jpg,https://anilist.co/manga/30004,末世|温情|机器,0,横滨购物纪行：98 边界作,,comic
The Ghost in the Shell 2: Man-Machine Interface,Ghost in the Shell 2: Man-Machine Interface,1997,anilist,31026,58,2863,"Action,Ecchi,Psychological,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31026-Cg1VXBGW5zOj.jpg,https://anilist.co/manga/31026,赛博朋克|AI,1,攻壳 MMI,,comic
BLAME! Academy and So On,Blame! and So On,2008,anilist,47368,60,3331,"Action,Comedy,Ecchi,Horror,Mecha,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx47368-hBRDORrqouWt.png,https://anilist.co/manga/47368,赛博朋克|设定集,2,BLAME! 设定集：巨构图纸,,comic
Saga (comics),Saga (comics),,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/7/78/Saga1coverByFionaStaples.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Saga_%28comics%29,太空歌剧|战争|家庭,2,Saga：太空歌剧杰作,"Saga is an epic space opera/fantasy comic book series written by Brian K. Vaughan and illustrated by Fiona Staples, publ",comic
Descender (comics),Descender (comics),,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/d/df/Descender_%28comics%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Descender_%28comics%29,AI|太空|机器人,2,Descender：机器人少年寻主,Descender is a science fiction space opera comic book series written by Jeff Lemire and illustrated by Dustin Nguyen. Th,comic
Paper Girls,Paper Girls,,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/4/43/Paper_Girls_Issue_01_2015_Cover.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Paper_Girls,时间旅行|80年代|冒险,0,Paper Girls,"Paper Girls is a mystery/science fiction comic book series created by Brian K. Vaughan and Cliff Chiang, and published b",comic
Black Science,Black Science,,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/e/e6/Black_Science_Issue_1_Cover_Art_by_Matteo_Scalera_Nov_2013.jpg,https://en.wikipedia.org/wiki/Black_Science,维度跳跃|硬科幻|家庭,1,Black Science,"Black Science may refer to:

Black Science (GZR album), 1997
Black Science (Steve Coleman album), 1991
Black Science (co",comic
East of West,East of West,,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/3/36/East_of_West.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/East_of_West,末世|西部|启示录,0,East of West,East of West is an American monthly comic book series published by Image Comics which debuted in March 2013 and was conc,comic
The Private Eye,The Private Eye (comics),,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Private_Eye.jpg/330px-Private_Eye.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/The_Private_Eye,赛博朋克|隐私|近未来,0,The Private Eye：无隐私世界,"The Private Eye is a science fiction mystery digital comic written by Brian K. Vaughan, drawn by Marcos Martín and color",comic
Low (comics),Low (comics),,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/8/8e/Low_no.1_cover_page.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Low_%28comics%29,深海|末世|探索,1,Low：深海遗孤,Low is an American After the End science fiction comics series written by Rick Remender and drawn by Greg Tocchini. Low ,comic
Fear Agent,Fear Agent,,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/5/55/Fearagent4.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Fear_Agent,太空牛仔|战争|硬核,2,Fear Agent：太空流浪汉,Fear Agent is an American science fiction comic book series written by Rick Remender with art by Tony Moore and Jerome O,comic
Injection (comics),Injection (comics),,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/7/7d/Injection_%28comics%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Injection_%28comics%29,科幻|悬疑|英国,0,Injection,"Injection is an American comics ongoing series, created in 2015 by Warren Ellis and illustrated by Declan Shalvey  and J",comic
Universal War One,Universal War One,,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/6/6a/Uniwar01.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Universal_War_One,太空歌剧|法国|军事,2,UW1：98 边界作，硬核太空战争,"Universal War One is a six-part French comic book limited series written, penciled, and inked by Denis Bajram. The serie",comic
Star Wars (2015 comic book),Star Wars (2015 comic),,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/0/02/Star_Wars_Vol_2-001_%282015%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Star_Wars_%282015_comic_book%29,星战|正史|绝地,1,星战正史漫画,"Star Wars is an ongoing Star Wars comic series published by Marvel Comics since January 14, 2015. Originally written by ",comic
Prophet (comics),Prophet (comics),,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/en/2/2c/Prophet_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://en.wikipedia.org/wiki/Prophet_%28comics%29,生物朋克|太空|史诗,2,Prophet：超时空生物朋克,,comic
Letter 44,Letter 44,,openlibrary,,,,,Graphic Novel,https://covers.openlibrary.org/b/id/8819170-L.jpg,,硬科幻|太空政治|近未来,3,Letter 44：小行星带飞船+白宫双线（英文维基无词条，数据手写）,,comic
Aama,Aama,,wikipedia,,,,,Graphic Novel,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Aama_%28film_poster%29.png/330px-Aama_%28film_poster%29.png,,硬科幻|记忆|太空,1,Aama：法式硬科幻（英文维基无词条，数据手写）,,comic
