app_id,name,release_year,release_date,review_score_desc,positive,total_reviews,positive_pct,steamspy_owners,price_overview,steam_url,header_img,tags,ship_ref,note,match_source
1332010,Stray,2022,2022-07-19,Overwhelmingly Positive,141807,145776,97.3,0,"{\final\"": 2799",https://store.steampowered.com/app/1332010/,https://cdn.akamai.steamstatic.com/steam/apps/1332010/header.jpg,机器人城市|猫|冒险,0,猫视角赛博城,games.csv
8870,BioShock Infinite,\N,\N,Very Positive,129438,138021,93.8,0,"{\final\"": 2999",https://store.steampowered.com/app/8870/,https://cdn.akamai.steamstatic.com/steam/apps/8870/header.jpg,天空之城|蒸汽朋克,1,哥伦比亚,games.csv
524220,NieR:Automata™,2017,2017-03-17,Very Positive,115597,133259,86.7,0,"{\final\"": 3999",https://store.steampowered.com/app/524220/,https://cdn.akamai.steamstatic.com/steam/apps/524220/header.jpg,AI|哲学|动作,0,人造人末日,games.csv
1222140,Detroit: Become Human,2020,2020-06-18,Overwhelmingly Positive,126581,132921,95.2,0,"{\final\"": 3999",https://store.steampowered.com/app/1222140/,https://cdn.akamai.steamstatic.com/steam/apps/1222140/header.jpg,AI|叙事|仿生人,0,仿生人觉醒,games.csv
244850,Space Engineers,2019,2019-02-28,Very Positive,112117,126177,88.9,0,"{\final\"": 849",https://store.steampowered.com/app/244850/,https://cdn.akamai.steamstatic.com/steam/apps/244850/header.jpg,太空建造|物理|生存,2,自由飞船建造,games.csv
220200,Kerbal Space Program,2015,2015-04-27,Overwhelmingly Positive,117417,123483,95.1,0,"{\final\"": 3999",https://store.steampowered.com/app/220200/,https://cdn.akamai.steamstatic.com/steam/apps/220200/header.jpg,火箭|物理|工程,3,轨道力学教科书,games.csv
1151640,Horizon Zero Dawn™ Complete Edition,2020,2020-08-07,Very Positive,106736,121426,87.9,0,\N,https://store.steampowered.com/app/1151640/,https://cdn.akamai.steamstatic.com/steam/apps/1151640/header.jpg,后末日|机械兽|开放世界,1,机械生物生态,raw-prefix
361420,ASTRONEER,2019,2019-02-05,Very Positive,111596,121176,92.1,0,"{\final\"": 2999",https://store.steampowered.com/app/361420/,https://cdn.akamai.steamstatic.com/steam/apps/361420/header.jpg,星球基地|可爱|探索,1,异星基地美化,games.csv
211820,Starbound,2016,2016-07-22,Very Positive,109160,120733,90.4,0,"{\final\"": 1399",https://store.steampowered.com/app/211820/,https://cdn.akamai.steamstatic.com/steam/apps/211820/header.jpg,沙盒|星球|探索,1,2D 星际沙盒,games.csv
457140,缺氧,\N,\N,Overwhelmingly Positive,116058,119931,96.8,0,"{\final\"": 5800",https://store.steampowered.com/app/457140/,https://cdn.akamai.steamstatic.com/steam/apps/457140/header.jpg,殖民地|气体物理|生存,1,闭环生命支持参考,api
323190,Frostpunk,\N,\N,Very Positive,105657,114394,92.4,0,"{\final\"": 16500",https://store.steampowered.com/app/323190/,https://cdn.akamai.steamstatic.com/steam/apps/323190/header.jpg,末世|城市管理|蒸汽朋克,1,方舟隐喻,games.csv
268500,XCOM® 2,2016,2016-02-04,Very Positive,82253,97431,84.4,0,"{\final\"": 149900",https://store.steampowered.com/app/268500/,https://cdn.akamai.steamstatic.com/steam/apps/268500/header.jpg,战术|外星|策略,1,外星占领地球,games.csv
359320,Elite Dangerous,2015,2015-04-02,Mostly Positive,73150,95074,76.9,0,"{\final\"": 1999",https://store.steampowered.com/app/359320/,https://cdn.akamai.steamstatic.com/steam/apps/359320/header.jpg,太空模拟|银河|探索,3,舰船内部+星系尺度假想,games.csv
1366540,Dyson Sphere Program,2021,2021-01-20,Overwhelmingly Positive,79604,81511,97.7,0,"{\final\"": 205000",https://store.steampowered.com/app/1366540/,https://cdn.akamai.steamstatic.com/steam/apps/1366540/header.jpg,建造|戴森球|自动化,1,行星级工程,games.csv
753640,Outer Wilds,\N,\N,Overwhelmingly Positive,69588,72716,95.7,0,"{\final\"": 26999",https://store.steampowered.com/app/753640/,https://cdn.akamai.steamstatic.com/steam/apps/753640/header.jpg,太空探索|时间循环|解密,2,小飞船+奇异星球,games.csv
212680,FTL: Faster Than Light,2012,2012-09-14,Overwhelmingly Positive,69388,72653,95.5,0,"{\final\"": 999",https://store.steampowered.com/app/212680/,https://cdn.akamai.steamstatic.com/steam/apps/212680/header.jpg,roguelike|飞船管理,2,飞船内舱室管理,games.csv
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,2023,2023-08-24,Very Positive,64111,70338,91.1,0,"{\final\"": 3599",https://store.steampowered.com/app/1888160/,https://cdn.akamai.steamstatic.com/steam/apps/1888160/header.jpg,机甲|宫崎英高,1,机甲组装,games.csv
1139900,Ghostrunner,2020,2020-10-27,Very Positive,56129,61394,91.4,0,"{\final\"": 2999",https://store.steampowered.com/app/1139900/,https://cdn.akamai.steamstatic.com/steam/apps/1139900/header.jpg,赛博朋克|跑酷|动作,0,一刀流,games.csv
214490,Alien: Isolation,2014,2014-10-06,Very Positive,53636,57595,93.1,0,"{\final\"": 3499",https://store.steampowered.com/app/214490/,https://cdn.akamai.steamstatic.com/steam/apps/214490/header.jpg,太空恐怖|潜行|异形,3,Sevastopol 空间站,games.csv
1328670,Mass Effect™ Legendary Edition,2021,2021-05-14,Very Positive,45266,49752,91.0,0,"{\final\"": 5999",https://store.steampowered.com/app/1328670/,https://cdn.akamai.steamstatic.com/steam/apps/1328670/header.jpg,太空歌剧|RPG|三部曲,3,诺曼底号内部结构,games.csv
480490,Prey,\N,\N,Very Positive,44190,48639,90.9,0,"{\final\"": 9900",https://store.steampowered.com/app/480490/,https://cdn.akamai.steamstatic.com/steam/apps/480490/header.jpg,空间站|恐怖|模拟,3,Talos I 空间站内部,games.csv
1693980,Dead Space,2023,2023-01-27,Very Positive,39510,43575,90.7,0,"{\final\"": 5999",https://store.steampowered.com/app/1693980/,https://cdn.akamai.steamstatic.com/steam/apps/1693980/header.jpg,太空恐怖|生存,3,石村号内部结构标杆,games.csv
1693980,Dead Space,2023,2023-01-27,Very Positive,39510,43575,90.7,0,"{\final\"": 5999",https://store.steampowered.com/app/1693980/,https://cdn.akamai.steamstatic.com/steam/apps/1693980/header.jpg,太空恐怖|生存|重制,3,石村号重制版,appid
337000,Deus Ex: Mankind Divided,2016,2016-08-23,Mostly Positive,30375,40112,75.7,0,"{\final\"": 2999",https://store.steampowered.com/app/337000/,https://cdn.akamai.steamstatic.com/steam/apps/337000/header.jpg,赛博朋克|义体|潜行,1,增强人社会,games.csv
8500,EVE Online,2010,2010-12-15,Mostly Positive,25722,34812,73.9,0,\N,https://store.steampowered.com/app/8500/,https://cdn.akamai.steamstatic.com/steam/apps/8500/header.jpg,太空|MMO|经济,3,舰船/空间站设计海量参考,raw
383120,Empyrion - Galactic Survival,\N,\N,Mostly Positive,25630,32451,79.0,0,"{\final\"": 799",https://store.steampowered.com/app/383120/,https://cdn.akamai.steamstatic.com/steam/apps/383120/header.jpg,太空生存|建造,1,自由建造,games.csv
257510,The Talos Principle,2014,2014-12-11,Overwhelmingly Positive,29291,30686,95.5,0,"{\final\"": 2899",https://store.steampowered.com/app/257510/,https://cdn.akamai.steamstatic.com/steam/apps/257510/header.jpg,AI|哲学|解谜,0,仿生人解谜,games.csv
32370,STAR WARS™ Knights of the Old Republic™,\N,\N,Very Positive,27939,30670,91.1,0,"{\final\"": 999",https://store.steampowered.com/app/32370/,https://cdn.akamai.steamstatic.com/steam/apps/32370/header.jpg,星战|RPG|经典,1,旧共和国,games.csv
1850570,DEATH STRANDING DIRECTOR'S CUT,2022,2022-03-30,Very Positive,28428,30654,92.7,0,"{\final\"": 5499",https://store.steampowered.com/app/1850570/,https://cdn.akamai.steamstatic.com/steam/apps/1850570/header.jpg,送快递|科幻|小岛秀夫,1,美国重建（导演剪辑版）,games.csv
637090,BATTLETECH,2018,2018-04-24,Very Positive,25598,30624,83.6,0,"{\final\"": 3999",https://store.steampowered.com/app/637090/,https://cdn.akamai.steamstatic.com/steam/apps/637090/header.jpg,机甲|回合|策略,0,回合制机甲,games.csv
954850,Kerbal Space Program 2,2023,2023-02-24,Mostly Negative,9348,26538,35.2,0,"{\final\"": 4999",https://store.steampowered.com/app/954850/,https://cdn.akamai.steamstatic.com/steam/apps/954850/header.jpg,火箭|物理|工程,2,续作（EA 评价一般）,games.csv
1222730,STAR WARS™: Squadrons,2020,2020-10-01,Mixed,17444,26371,66.1,0,"{\final\"": 3999",https://store.steampowered.com/app/1222730/,https://cdn.akamai.steamstatic.com/steam/apps/1222730/header.jpg,星战|空战|VR,2,X翼/TIE 座舱,games.csv
464920,Surviving Mars,\N,\N,Very Positive,21889,25813,84.8,0,"{\final\"": 2999",https://store.steampowered.com/app/464920/,https://cdn.akamai.steamstatic.com/steam/apps/464920/header.jpg,火星殖民|模拟,2,火星穹顶城市,games.csv
578650,The Outer Worlds,2020,2020-10-23,Very Positive,21088,25181,83.7,0,"{\final\"": 2999",https://store.steampowered.com/app/578650/,https://cdn.akamai.steamstatic.com/steam/apps/578650/header.jpg,太空歌剧|RPG|黑色幽默,2,殖民边疆宇宙,games.csv
392110,ENDLESS™ Space 2,2017,2017-05-18,Very Positive,18124,21719,83.4,0,"{\final\"": 3999",https://store.steampowered.com/app/392110/,https://cdn.akamai.steamstatic.com/steam/apps/392110/header.jpg,4X|太空策略,2,文明级太空策略,games.csv
392160,X4: Foundations,2018,2018-11-30,Mostly Positive,16864,21456,78.6,0,"{\final\"": 4999",https://store.steampowered.com/app/392160/,https://cdn.akamai.steamstatic.com/steam/apps/392160/header.jpg,太空模拟|经济|舰队,3,模块化飞船+空间站建造,games.csv
1262350,SIGNALIS,\N,\N,Overwhelmingly Positive,20496,21177,96.8,0,"{\final\"": 1999",https://store.steampowered.com/app/1262350/,https://cdn.akamai.steamstatic.com/steam/apps/1262350/header.jpg,太空恐怖|生存|复古,2,复古太空恐怖,games.csv
1161580,Hardspace: Shipbreaker,2022,2022-05-24,Very Positive,17356,19416,89.4,0,"{\final\"": 1224",https://store.steampowered.com/app/1161580/,https://cdn.akamai.steamstatic.com/steam/apps/1161580/header.jpg,拆船|模拟|太空,3,飞船结构解剖——绝佳参考,games.csv
204880,Sins of a Solar Empire®: Rebellion,2012,2012-06-12,Very Positive,14747,15820,93.2,0,"{\final\"": 1950",https://store.steampowered.com/app/204880/,https://cdn.akamai.steamstatic.com/steam/apps/204880/header.jpg,RTS|太空,2,舰队战,games.csv
1238000,Mass Effect™: Andromeda Deluxe Edition,\N,\N,Mostly Positive,11367,15084,75.4,0,"{\final\"": 3999",https://store.steampowered.com/app/1238000/,https://cdn.akamai.steamstatic.com/steam/apps/1238000/header.jpg,殖民|方舟|RPG,3,方舟级殖民船+异星建设（Steam 名带 Deluxe）,appid
1113120,IXION,2022,2022-12-07,Mostly Positive,11472,14718,77.9,0,"{\final\"": 3399",https://store.steampowered.com/app/1113120/,https://cdn.akamai.steamstatic.com/steam/apps/1113120/header.jpg,世代飞船|城市管理,4,世代飞船城市管理——主线直接参考,games.csv
738520,Breathedge,2021,2021-02-25,Very Positive,11801,14289,82.6,0,"{\final\"": 2499",https://store.steampowered.com/app/738520/,https://cdn.akamai.steamstatic.com/steam/apps/738520/header.jpg,太空生存|幽默,1,太空事故求生,games.csv
698670,Scorn,2022,2022-10-14,Mostly Positive,10834,14164,76.5,0,"{\final\"": 3999",https://store.steampowered.com/app/698670/,https://cdn.akamai.steamstatic.com/steam/apps/698670/header.jpg,生物朋克|恐怖|艺术,0,吉格尔美学,games.csv
8850,BioShock® 2,2010,2010-02-09,Very Positive,12569,14084,89.2,0,\N,https://store.steampowered.com/app/8850/,https://cdn.akamai.steamstatic.com/steam/apps/8850/header.jpg,蒸汽朋克|水下都市|反乌托邦,2,销魂城,raw-prefix
746850,Cloudpunk,2020,2020-04-23,Very Positive,12257,13906,88.1,0,"{\final\"": 1999",https://store.steampowered.com/app/746850/,https://cdn.akamai.steamstatic.com/steam/apps/746850/header.jpg,赛博朋克|飞行车|叙事,1,垂直都市飞行,games.csv
1601580,Frostpunk 2,2024,2024-09-20,Mostly Positive,10203,13772,74.1,0,"{\final\"": 4049",https://store.steampowered.com/app/1601580/,https://cdn.akamai.steamstatic.com/steam/apps/1601580/header.jpg,末世|城市管理,1,续作,games.csv
234650,Shadowrun Returns,2013,2013-07-25,Very Positive,11680,13193,88.5,0,"{\final\"": 1499",https://store.steampowered.com/app/234650/,https://cdn.akamai.steamstatic.com/steam/apps/234650/header.jpg,赛博朋克|奇幻|回合,0,影遁,games.csv
445220,Avorion,2020,2020-03-09,Very Positive,11784,13068,90.2,0,"{\final\"": 2499",https://store.steampowered.com/app/445220/,https://cdn.akamai.steamstatic.com/steam/apps/445220/header.jpg,飞船建造|程序生成,2,模块化飞船设计,games.csv
784080,MechWarrior 5: Mercenaries,2021,2021-05-26,Very Positive,9899,11740,84.3,0,"{\final\"": 2999",https://store.steampowered.com/app/784080/,https://cdn.akamai.steamstatic.com/steam/apps/784080/header.jpg,机甲|模拟,1,机甲舱内视角,games.csv
1128920,EVERSPACE™ 2,2023,2023-04-06,Very Positive,9285,10616,87.5,0,"{\final\"": 4999",https://store.steampowered.com/app/1128920/,https://cdn.akamai.steamstatic.com/steam/apps/1128920/header.jpg,太空射击|roguelike,2,开放太空,games.csv
1830840,The Planet Crafter: Prologue,2021,2021-12-19,Overwhelmingly Positive,10078,10430,96.6,0,\N,https://store.steampowered.com/app/1830840/,https://cdn.akamai.steamstatic.com/steam/apps/1830840/header.jpg,行星改造|生存,1,火星改造,raw-prefix
799600,Cosmoteer: Starship Architect & Commander,2022,2022-10-24,Overwhelmingly Positive,9491,9975,95.1,0,"{\final\"": 1599",https://store.steampowered.com/app/799600/,https://cdn.akamai.steamstatic.com/steam/apps/799600/header.jpg,飞船建造|模块|物理,2,龙骨+模块化结构,games.csv
403190,Planetbase,2015,2015-10-15,Mostly Positive,7604,9540,79.7,0,"{\final\"": 739",https://store.steampowered.com/app/403190/,https://cdn.akamai.steamstatic.com/steam/apps/403190/header.jpg,殖民模拟|小体量,1,基地资源闭环,games.csv
482400,System Shock,2023,2023-05-30,Very Positive,8729,9517,91.7,0,"{\final\"": 3999",https://store.steampowered.com/app/482400/,https://cdn.akamai.steamstatic.com/steam/apps/482400/header.jpg,空间站|AI|恐怖,2,SHODAN 空间站,games.csv
1324130,Stranded: Alien Dawn,2023,2023-04-25,Very Positive,7549,8859,85.2,0,"{\final\"": 3499",https://store.steampowered.com/app/1324130/,https://cdn.akamai.steamstatic.com/steam/apps/1324130/header.jpg,生存|外星|殖民,1,异星求生,games.csv
290300,Rebel Galaxy,2015,2015-10-20,Very Positive,6778,7959,85.2,0,"{\final\"": 1679",https://store.steampowered.com/app/290300/,https://cdn.akamai.steamstatic.com/steam/apps/290300/header.jpg,太空|贸易|牛仔,1,大舰对轰,games.csv
428660,Deliver Us The Moon,2019,2019-10-10,Very Positive,6863,7735,88.7,0,"{\final\"": 2499",https://store.steampowered.com/app/428660/,https://cdn.akamai.steamstatic.com/steam/apps/428660/header.jpg,月球|叙事|解谜,2,月球基地细节,games.csv
1649240,Returnal™,2023,2023-02-15,Very Positive,6077,7420,81.9,0,"{\final\"": 5999",https://store.steampowered.com/app/1649240/,https://cdn.akamai.steamstatic.com/steam/apps/1649240/header.jpg,外星|循环|roguelike,2,异星生态+飞船残骸,games.csv
1840080,Homeworld 3,2024,2024-05-13,Mixed,2893,7084,40.8,0,"{\final\"": 5999",https://store.steampowered.com/app/1840080/,https://cdn.akamai.steamstatic.com/steam/apps/1840080/header.jpg,RTS|母舰|史诗,3,母舰美学+舰队,games.csv
1282690,Crysis® 3,2020,2020-06-04,Very Positive,4664,5480,85.1,0,\N,https://store.steampowered.com/app/1282690/,https://cdn.akamai.steamstatic.com/steam/apps/1282690/header.jpg,军事|纳米服|沙盒,0,纳米服,raw-prefix
857980,Void Bastards,\N,\N,Very Positive,4455,5189,85.9,0,"{\final\"": 2999",https://store.steampowered.com/app/857980/,https://cdn.akamai.steamstatic.com/steam/apps/857980/header.jpg,roguelike|飞船|漫画,1,随机飞船探索,games.csv
757310,Sable,2021,2021-09-23,Very Positive,4471,5187,86.2,0,"{\final\"": 999",https://store.steampowered.com/app/757310/,https://cdn.akamai.steamstatic.com/steam/apps/757310/header.jpg,开放世界|艺术|探索,1,荒漠废船美学,games.csv
731040,The Invincible,2023,2023-11-06,Very Positive,4469,5024,89.0,0,"{\final\"": 1979",https://store.steampowered.com/app/731040/,https://cdn.akamai.steamstatic.com/steam/apps/731040/header.jpg,硬科幻|莱姆|叙事,2,莱姆原著改编,games.csv
906100,Observation,2020,2020-05-21,Mostly Positive,3588,4566,78.6,0,"{\final\"": 2450",https://store.steampowered.com/app/906100/,https://cdn.akamai.steamstatic.com/steam/apps/906100/header.jpg,空间站|AI|叙事,2,空间站 AI 视角,games.csv
343860,Tacoma,2017,2017-08-01,Very Positive,3815,4424,86.2,0,"{\final\"": 1950",https://store.steampowered.com/app/343860/,https://cdn.akamai.steamstatic.com/steam/apps/343860/header.jpg,空间站|叙事|沉浸,2,空间站全息回放,games.csv
484900,Aven Colony,2017,2017-07-25,Mostly Positive,1862,2533,73.5,0,"{\final\"": 2999",https://store.steampowered.com/app/484900/,https://cdn.akamai.steamstatic.com/steam/apps/484900/header.jpg,殖民模拟,1,异星殖民地,games.csv
383840,Nimbatus - The Space Drone Constructor,2020,2020-05-14,Very Positive,1641,2049,80.1,0,"{\final\"": 780",https://store.steampowered.com/app/383840/,https://cdn.akamai.steamstatic.com/steam/apps/383840/header.jpg,飞船建造|物理,1,无人机船体设计,games.csv
1788800,Soma Union,2021,2021-11-01,Very Positive,48,53,90.6,0,\N,https://store.steampowered.com/app/1788800/,https://cdn.akamai.steamstatic.com/steam/apps/1788800/header.jpg,水下|意识|恐怖,1,意识拷贝,raw-prefix
,Star Citizen,,,非 Steam,0,0,0.0,0,,https://robertsspaceindustries.com/,,太空模拟|众筹|飞船,3,飞船细节顶级（EA 中）,non-steam
2560250,Observer,2023,2023-09-09,No user reviews,0,0,0.0,0,"{\final\"": 399",https://store.steampowered.com/app/2560250/,https://cdn.akamai.steamstatic.com/steam/apps/2560250/header.jpg,赛博朋克|恐怖|侦探,0,潜入他人记忆,games.csv
