tconst,title,year,runtime_min,imdb_rating,num_votes,genres,tags,ship_ref,note,imdb_url
tt9170108,Raised by Wolves,2020,55,7.4,93341,"Drama,Fantasy,Sci-Fi",人造人|殖民|宗教|异星,2,开普勒-22b 殖民+人造人抚养,https://www.imdb.com/title/tt9170108/
tt7772588,For All Mankind,2019,60,8.1,92211,"Drama,Sci-Fi",架空历史|太空竞赛|硬科幻|火星,3,NASA 工程细节教科书,https://www.imdb.com/title/tt7772588/
tt8291284,The Peripheral,2022,60,7.5,92176,"Drama,Mystery,Sci-Fi",近未来|VR|时间线,1,威廉吉布森改编,https://www.imdb.com/title/tt8291284/
tt7826376,Upload,2020,30,7.7,90915,"Comedy,Mystery,Sci-Fi",意识上传|喜剧|近未来,0,数字来世,https://www.imdb.com/title/tt7826376/
tt12327578,Star Trek: Strange New Worlds,2022,52,8.2,76900,"Action,Adventure,Sci-Fi",星际迷航|经典回归,2,企业号新纪元,https://www.imdb.com/title/tt12327578/
tt0374455,Stargate: Atlantis,2004,44,8.2,76288,"Action,Adventure,Drama",星际门|探险|军事,1,飞马座远征,https://www.imdb.com/title/tt0374455/
tt6156584,Snowpiercer,2020,60,6.9,75656,"Action,Drama,Sci-Fi",方舟列车|阶级|末世,3,永动列车社会（剧版）,https://www.imdb.com/title/tt6156584/
tt8134186,Devs,2020,51,7.6,58514,"Drama,Mystery,Sci-Fi",量子计算|宿命论|悬疑,1,预测未来公司,https://www.imdb.com/title/tt8134186/
tt1286039,Stargate Universe,2009,43,7.6,55945,"Drama,Sci-Fi",深空|世代飞船感|生存,3,命运号深空漂流，资源管理,https://www.imdb.com/title/tt1286039/
tt10574236,Station Eleven,2021,51,7.5,43683,"Adventure,Drama,Fantasy",末世|流感|人文,0,疫情后的剧团,https://www.imdb.com/title/tt10574236/
tt8369840,Another Life,2019,43,5.3,40676,"Adventure,Drama,Mystery",深空|外星|冒险,2,外星信标任务,https://www.imdb.com/title/tt8369840/
tt21056886,Scavengers Reign,2023,24,8.6,37059,"Adventure,Animation,Drama",异星生态|动画|生存,2,异星生态艺术标杆,https://www.imdb.com/title/tt21056886/
tt1831804,The Stand,2020,57,5.7,33718,"Adventure,Drama,Fantasy",末世|超自然|斯蒂芬金,0,瘟疫后善恶之战,https://www.imdb.com/title/tt1831804/
tt8787802,Away,2020,50,6.6,27205,"Drama,Romance,Sci-Fi",火星任务|宇航员|家庭,2,国际火星任务,https://www.imdb.com/title/tt8787802/
tt8741290,Tales from the Loop,2020,50,7.4,26895,"Drama,Sci-Fi",近未来|温情|艺术,0,环状机器小镇,https://www.imdb.com/title/tt8741290/
tt11680642,Pantheon,2022,41,8.5,23377,"Action,Adventure,Animation",意识上传|动画|阴谋,0,上传大脑战争,https://www.imdb.com/title/tt11680642/
tt5711280,Electric Dreams,2017,60,7.2,20517,"Drama,Sci-Fi",菲利普迪克|单元剧,0,PKD 短篇改编,https://www.imdb.com/title/tt5711280/
tt3696720,Ascension,2014,77,7.1,20141,"Drama,Sci-Fi",世代飞船|阴谋|迷你剧,4,60年代世代飞船计划,https://www.imdb.com/title/tt3696720/
tt8042500,Y: The Last Man,2021,60,6.0,16556,"Action,Adventure,Drama",末世|性别|改编,0,男性灭绝,https://www.imdb.com/title/tt8042500/
tt6903284,Nightflyers,2018,60,5.9,14787,"Drama,Horror,Mystery",世代飞船|太空恐怖|心理,4,飞向恒星的世代飞船恐怖剧,https://www.imdb.com/title/tt6903284/
tt6268062,Ø,2016,15,6.9,42,"Crime,Drama,Thriller",硬科幻|中国|三体,3,腾讯剧版三体,https://www.imdb.com/title/tt6268062/
tt2365155,Fallout,2007,\N,8.8,11,"Comedy,Drama,Sci-Fi",末世|废土|核战,1,避难所+废土,https://www.imdb.com/title/tt2365155/
