title,search_name,year,source,source_id,score,popularity,genres,format,cover_img,url,tags,ship_ref,note,desc,kind
Cyberpunk: Edgerunners,Cyberpunk: Edgerunners,2022,anilist,120377,85,376805,"Action,Drama,Psychological,Sci-Fi",ONA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx120377-ayZPoxiWt4Li.jpg,https://anilist.co/anime/120377,赛博朋克|义体|夜之城,1,边缘行者：赛博都市视觉,,anime
Swallowed Star,Swallowed Star,2020,anilist,117012,77,3888,"Action,Sci-Fi",ONA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx117012-l2rktMbQbn0Z.png,https://anilist.co/anime/117012,科幻|中国|进化,1,吞噬星空,,anime
Vivy -Fluorite Eye's Song-,Vivy: Fluorite Eye's Song,2021,anilist,128546,82,178777,"Action,Drama,Music,Sci-Fi,Thriller",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx128546-UIwyhuhjxmL0.jpg,https://anilist.co/anime/128546,AI|歌|科幻,0,Vivy：AI 百年旅程,,anime
86 EIGHTY-SIX,86 Eighty-Six,2021,anilist,116589,83,317325,"Action,Drama,Mecha,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx116589-KawXHB6sApFt.jpg,https://anilist.co/anime/116589,军事科幻|机甲|战争,1,86 不存在的战区,,anime
Dr. STONE,Dr. Stone,2019,anilist,105333,81,548195,"Action,Adventure,Comedy,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx105333-GybuoSoOZfpH.jpg,https://anilist.co/anime/105333,科学|文明重建|近未来,0,石纪元：科学复现,,anime
RahXephon,RahXephon,2002,anilist,165,71,29260,"Drama,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx165-TBPrUsYj4SUL.jpg,https://anilist.co/anime/165,机甲|心理|平行世界,0,翼神传说,,anime
Vandread,Vandread,2000,anilist,180,67,15662,"Action,Comedy,Mecha,Romance,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180-67CAKcXsjpUt.png,https://anilist.co/anime/180,太空|性别|机甲,1,银河冒险战记,,anime
Yukikaze,Yukikaze,2002,anilist,1080,69,5668,"Action,Drama,Psychological,Sci-Fi",OVA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1080-f56ixGzYinVs.png,https://anilist.co/anime/1080,军事科幻|AI|空战,1,战斗妖精雪风,,anime
Godzilla Singular Point,Godzilla Singular Point,2021,anilist,124786,65,23254,"Action,Mecha,Mystery,Sci-Fi",ONA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx124786-nq5AzrR1DI7z.jpg,https://anilist.co/anime/124786,硬科幻|怪兽|科学,0,哥斯拉奇点：理论物理,,anime
Wo de San Ti: Luo Ji Zhuan,My Three Body,2016,anilist,123027,,83,"Drama,Sci-Fi",ONA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx123027-KD1ON5HNZGHc.png,https://anilist.co/anime/123027,硬科幻|中国|方块动画,1,我的三体：MC 动画,,anime
Gargantia on the Verdurous Planet,Gargantia on the Verdurous Planet,2013,anilist,16524,72,74227,"Action,Adventure,Mecha,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx16524-xox2OUR3L1at.png,https://anilist.co/anime/16524,太空|海洋|哲学,2,翠星加尔刚蒂亚,,anime
Kabaneri of the Iron Fortress,Kabaneri of the Iron Fortress,2016,anilist,21196,70,194294,"Action,Drama,Fantasy,Horror,Supernatural",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21196-2PfPfIDrxKki.jpg,https://anilist.co/anime/21196,蒸汽朋克|末世|列车,0,甲铁城：蒸汽方舟列车,,anime
Ghost in the Shell: SAC_2045,Ghost in the Shell: SAC_2045,2020,anilist,106154,62,13084,"Action,Mystery,Sci-Fi",ONA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx106154-14XxxKUUwh13.jpg,https://anilist.co/anime/106154,赛博朋克|AI|续作,1,攻壳 SAC 2045,,anime
Paprika,Paprika,2006,anilist,1943,79,154035,"Fantasy,Mystery,Psychological,Sci-Fi,Thriller",MOVIE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b1943-jMCEYL1Ixmgc.png,https://anilist.co/anime/1943,梦境|赛博朋克|剧场版,0,红辣椒：今敏,,anime
Steamboy,Steamboy,2004,anilist,565,70,20687,"Action,Adventure,Drama,Sci-Fi",MOVIE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx565-XWjoGw6sOoqo.png,https://anilist.co/anime/565,蒸汽朋克|剧场版,0,蒸汽男孩,,anime
Appleseed,Appleseed,1988,anilist,937,59,9318,"Action,Adventure,Mecha,Sci-Fi",OVA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx937-2SYiMKI3qPkp.jpg,https://anilist.co/anime/937,赛博朋克|义体|剧场版,1,苹果核战记,,anime
Ghost in the Shell 2: Innocence,Ghost in the Shell 2: Innocence,2004,anilist,468,75,40751,"Action,Psychological,Sci-Fi",MOVIE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx468-rfiX1uY8bsPp.jpg,https://anilist.co/anime/468,赛博朋克|AI|剧场版,0,攻壳无罪,,anime
Mobile Suit Gundam 00,Mobile Suit Gundam 00,2007,anilist,2581,78,42379,"Action,Drama,Mecha,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2581-MLEf00dNAfqY.jpg,https://anilist.co/anime/2581,军事科幻|机甲|地缘,1,高达00,,anime
Mobile Suit Gundam UC,Mobile Suit Gundam Unicorn,2010,anilist,6336,78,24738,"Action,Drama,Mecha,Sci-Fi",OVA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx6336-jdAs058XtObM.jpg,https://anilist.co/anime/6336,军事科幻|机甲|UC,1,高达独角兽,,anime
灵笼 (Ling Long),Ling Long,2019,anilist,110459,69,3378,"Action,Drama,Horror,Mecha,Mystery,Sci-Fi,Thriller",ONA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx110459-K2lyLvxHj72X.jpg,https://anilist.co/anime/110459,末世|方舟|中国,3,灵笼：灯塔方舟+生态循环,,anime
Mobile Suit GUNDAM Iron Blooded Orphans,Mobile Suit Gundam: Iron-Blooded Orphans,2015,anilist,21268,78,67996,"Action,Drama,Mecha,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx21268-6dKrz26PPUvk.jpg,https://anilist.co/anime/21268,军事科幻|机甲|战争,1,高达铁血孤儿（主TV）,,anime
